age,weight-(kg),max-bpm,avg-bpm,resting-bpm,session-duration-(hours),workout-frequency-(days/week),experience-level,daily-meals-frequency,physical-exercise,sugar-g,sodium-mg,cholesterol-mg,serving-size-g,prep-time-min,cook-time-min,rating,pct-maxhr,gender_Male,workout-type_HIIT,workout-type_Strength,workout-type_Yoga,diet-type_Keto,diet-type_Low-Carb,diet-type_Paleo,diet-type_Vegan,diet-type_Vegetarian,cooking-method_Boiled,cooking-method_Fried,cooking-method_Grilled,cooking-method_Raw,cooking-method_Roasted,cooking-method_Steamed,split
35,59.12,197,160,59,1.32,3,1,3,0,10.44,1181,47,393.98,33,100,2.69,0.82,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,train
52,52.52,171,149,71,1.35,3,2,3,0,27.92,1242,99,108.97,54,44,3.78,0.87,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,train
22,58.35,179,149,58,1.15,3,2,3,0,49.61,1113,37,280.27,22,38,1.43,0.83,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
52,52.76,173,156,54,1.38,3,2,4,0,35.22,1086,229,361.64,32,83,1.6,0.9,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,train
23,50.64,178,133,72,0.97,3,1,2,1,12.63,302,113,313.43,39,116,4.4,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
31,66.25,184,137,71,1.03,4,2,2,0,0.73,1350,6,365.32,6,53,3.19,0.75,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,train
53,43.97,171,128,61,1.28,4,2,4,1,32.41,1585,16,390.06,44,114,2.91,0.75,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,train
32,56.2,165,155,63,1.07,3,1,3,0,3.64,360,154,195.16,58,91,1.3,0.94,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,train
53,86.98,189,158,68,1.47,3,2,3,0,15.19,2432,233,350.46,26,68,2.71,0.84,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
59,59.9,185,154,55,1.02,3,2,4,1,7.06,2228,255,369.38,52,85,2.78,0.83,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,train
36,71.71,163,120,73,1.1,3,2,4,0,20.02,1883,5,494.19,10,99,3.46,0.74,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,train
32,84.33,195,126,63,1.46,3,1,3,0,38.84,863,30,383.47,18,17,2.92,0.65,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,train
34,112.47,162,134,66,1.18,4,2,2,1,48.86,1480,209,156.79,52,74,4.13,0.83,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,train
43,127.06,171,155,53,1.15,3,2,4,1,11.45,2125,247,398.9,9,25,3.03,0.91,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,train
34,79.61,196,164,70,1.27,4,2,3,1,13.47,1405,75,205.93,50,46,4.18,0.84,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,train
38,55.69,184,148,59,1.95,5,3,3,0,7.57,1221,185,436.46,7,112,1.8,0.8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,train
31,49.99,182,157,52,0.57,2,1,2,0,13.15,825,236,287.13,39,13,2.91,0.86,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
36,76.46,192,121,50,1.48,4,2,3,0,3.24,2419,111,330.07,40,61,2.39,0.63,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,train
23,72.05,164,170,74,1.25,2,1,3,0,22.59,512,245,408.58,17,97,2.51,1.03,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,train
54,67.2,195,129,62,1.25,2,1,2,0,14.87,1821,67,266.93,49,113,4.03,0.66,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,train
25,49.51,165,122,68,1.14,3,2,4,1,42.16,2076,224,457.81,43,60,3.67,0.74,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,train
56,64.6,170,129,52,1.74,5,3,3,0,20.47,142,64,332.37,41,75,2.01,0.76,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,train
21,72.37,162,127,70,1.17,3,2,3,0,16.24,2280,221,363.04,52,10,2.68,0.79,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,train
53,51.67,179,127,61,1.23,3,2,4,1,6.47,1782,114,325.18,43,36,4.18,0.71,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,train
20,125.61,196,159,60,1.38,3,2,4,1,14.74,1829,173,477.99,47,14,4.11,0.81,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,train
39,55.58,184,148,59,1.96,5,3,3,0,7.24,1223,185,439.22,7,112,1.79,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,train
42,64.03,173,169,62,1.42,3,2,2,0,31.56,1154,40,210.53,55,51,4.84,0.98,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,train
55,58.91,182,156,57,1.26,4,2,3,0,9.46,1471,113,339.06,56,21,1.69,0.86,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,train
26,80.88,170,166,52,1.74,4,3,2,0,39.64,1473,3,386.81,47,87,4.87,0.98,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,train
51,73.52,174,150,50,1.25,3,2,3,1,10.56,540,256,296.06,23,8,1.51,0.86,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,train
22,98.51,194,135,71,0.51,2,1,4,0,3.18,1839,215,406.23,58,106,2.21,0.7,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
58,70.51,192,121,66,1.17,3,2,2,0,32.55,1474,107,261.93,28,57,4.43,0.63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,train
50,101.36,192,127,57,0.53,2,1,3,0,5.44,70,184,269.45,36,67,3.5,0.66,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,train
53,55.37,171,141,54,1.11,4,2,2,0,39.43,1236,116,209.1,39,8,1.75,0.83,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,train
24,88.62,182,131,68,1.4,2,1,3,0,1.99,2173,126,377.64,51,41,4.11,0.72,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,train
56,117.04,199,126,68,0.67,2,1,2,0,42.38,1008,3,469.23,21,52,3.94,0.63,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,train
31,59.0,184,160,64,0.51,2,1,4,0,29.89,697,160,273.04,36,47,3.13,0.87,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,train
31,42.23,163,163,70,1.09,3,2,3,0,24.49,1428,152,247.81,10,38,4.17,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,train
54,78.88,195,131,55,1.42,3,2,2,0,45.68,1830,214,101.73,45,40,1.46,0.67,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,train
48,83.21,183,159,73,1.9,5,3,3,0,41.62,1263,188,334.41,43,70,2.0,0.87,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
21,60.41,179,123,52,1.98,5,3,4,1,38.24,2157,91,367.37,53,40,4.1,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,train
18,52.48,187,165,58,1.2,2,1,4,0,31.17,1721,99,259.89,10,78,3.6,0.88,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,train
40,62.45,176,161,71,1.42,4,2,3,0,17.49,747,242,460.68,18,16,1.21,0.91,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,train
40,66.15,187,143,68,0.78,2,1,3,0,9.19,934,146,337.16,36,112,4.92,0.76,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,train
29,61.15,179,138,71,1.77,4,3,3,1,37.51,724,10,367.91,52,115,1.87,0.77,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,train
44,48.41,189,124,52,0.9,2,1,2,1,27.13,1256,289,162.37,55,83,3.28,0.66,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,train
43,94.31,170,120,67,1.26,4,2,4,1,44.04,1372,177,339.2,18,19,3.2,0.71,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,train
37,75.09,189,127,60,1.23,4,2,3,0,19.01,1083,286,218.05,21,22,3.76,0.67,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,train
42,55.74,192,149,74,1.07,3,1,2,0,36.89,1184,10,468.33,24,87,4.09,0.78,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,train
22,41.6,164,133,67,0.56,3,1,3,0,48.73,91,47,246.55,45,40,1.47,0.81,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,train
44,81.63,164,141,55,1.14,4,2,3,1,31.25,2216,139,271.07,8,30,2.5,0.86,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,train
34,77.85,198,168,57,1.13,4,2,2,1,43.64,272,6,345.94,31,55,1.3,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,train
27,80.72,170,166,52,1.75,4,3,2,0,39.51,1490,1,386.73,47,85,4.8,0.98,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,train
25,43.0,196,161,65,1.04,4,2,3,1,26.18,2405,44,148.3,53,30,1.98,0.82,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,train
58,56.43,170,122,57,0.74,2,1,3,0,8.38,1463,270,289.76,49,90,2.98,0.72,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,train
52,105.45,189,141,61,1.35,3,1,3,0,45.34,1115,186,454.82,17,61,2.82,0.75,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,train
36,96.04,193,129,65,1.37,3,1,4,0,30.67,912,286,435.7,24,59,2.02,0.67,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,train
52,57.44,199,164,65,1.49,3,2,3,0,25.69,1536,120,156.4,45,41,2.89,0.83,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
30,92.07,171,152,60,1.37,3,2,2,0,23.03,1138,74,366.27,50,35,2.22,0.89,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,train
50,69.96,160,143,58,0.73,2,1,4,0,40.71,850,80,199.81,55,79,3.91,0.89,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
58,89.18,198,126,59,1.43,3,2,3,0,42.38,399,155,174.94,32,21,2.36,0.63,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,train
22,107.49,195,138,63,1.33,2,1,3,0,20.18,932,174,207.75,41,60,2.7,0.71,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,train
52,67.84,181,139,57,1.05,4,2,3,0,7.67,86,89,450.1,50,29,4.87,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,train
21,88.41,198,121,67,1.7,4,3,3,0,12.32,2148,208,405.51,51,109,2.31,0.61,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,train
39,80.34,168,167,74,1.63,5,3,3,0,27.75,1247,190,484.51,42,15,3.42,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,train
23,67.98,176,138,66,1.42,3,2,2,1,23.45,1148,260,203.5,32,36,3.81,0.78,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,train
33,124.87,161,136,66,1.42,3,2,3,0,22.49,1434,180,279.44,47,58,4.68,0.84,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,train
39,105.59,199,133,71,0.8,2,1,4,0,35.21,424,96,305.85,48,39,4.28,0.67,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,train
53,78.02,174,146,72,0.81,2,1,4,1,38.34,1364,146,436.96,22,68,3.45,0.84,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,train
43,46.65,176,139,65,1.19,2,1,3,0,18.88,2144,153,266.19,7,92,4.37,0.79,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,train
41,121.67,188,146,54,0.83,2,1,2,0,33.25,871,270,386.49,57,42,3.1,0.78,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,train
28,84.85,187,140,51,1.78,4,3,2,1,18.63,774,28,378.55,13,86,4.4,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,train
33,58.62,175,124,55,0.89,3,1,2,0,43.4,2148,211,401.58,55,7,4.69,0.71,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,train
55,58.99,182,155,57,1.27,4,2,3,0,9.67,1453,111,338.67,57,20,1.69,0.85,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,train
57,96.7,168,146,74,1.11,3,2,3,1,6.55,2365,34,459.5,32,69,2.0,0.87,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,train
49,95.08,173,133,50,1.14,4,2,3,0,5.54,1252,114,320.31,55,23,4.07,0.77,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,train
47,94.37,189,140,64,1.02,3,2,3,0,22.62,1728,109,187.74,23,120,3.47,0.74,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
29,59.15,174,141,74,1.83,4,3,3,0,30.91,1915,226,497.06,29,36,3.72,0.81,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,train
56,107.86,185,126,50,1.1,3,2,3,0,23.97,1473,293,421.25,13,57,4.19,0.68,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,train
26,86.33,189,157,72,1.98,5,3,4,0,43.7,1628,195,121.81,23,35,1.02,0.83,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
41,79.72,181,147,50,1.23,2,1,4,1,47.42,1576,204,135.96,24,114,4.37,0.81,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,train
20,118.08,196,161,54,1.35,3,2,3,0,20.08,1611,276,441.66,49,86,3.92,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,train
23,58.67,179,149,58,1.15,3,2,3,0,49.19,1136,32,277.28,22,38,1.41,0.83,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,train
41,59.25,195,141,52,1.78,5,3,3,0,35.02,2101,205,435.78,9,21,1.2,0.72,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,train
29,87.08,174,122,55,1.51,4,3,2,0,28.9,68,187,501.63,25,71,1.99,0.7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,train
28,56.45,191,123,61,0.68,3,1,3,0,34.56,1192,13,177.07,55,32,4.0,0.64,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,train
51,65.34,169,125,55,1.49,4,2,3,0,39.32,1116,49,225.02,37,81,2.87,0.74,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
38,59.31,170,153,59,1.35,4,2,2,0,2.58,281,198,426.19,53,116,3.45,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
50,70.78,178,139,54,1.39,3,1,3,0,10.12,1615,136,127.3,45,31,3.36,0.78,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,train
52,54.03,173,156,54,1.37,3,2,4,0,35.74,1085,227,366.9,32,83,1.57,0.9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
34,67.72,169,128,57,0.66,2,1,2,1,41.21,1728,19,140.61,51,110,3.66,0.75,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,train
40,65.01,166,123,53,1.04,4,2,3,0,38.38,948,57,121.24,20,28,4.07,0.74,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,train
48,69.44,191,122,62,1.13,4,2,2,0,41.29,552,233,197.4,59,13,4.39,0.64,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,train
28,121.02,188,130,52,1.31,4,2,3,0,45.17,385,45,402.21,13,60,3.03,0.69,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,train
26,88.95,169,153,62,1.62,5,3,2,1,35.7,410,120,254.04,17,15,3.89,0.91,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,train
26,88.86,161,153,53,1.8,4,3,2,1,18.4,339,219,118.81,31,15,4.41,0.95,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,train
54,64.32,188,131,69,1.69,4,3,4,0,19.54,611,56,236.31,16,7,1.88,0.69,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,train
31,78.31,195,125,69,1.29,3,1,3,0,4.49,2262,114,473.13,12,23,3.98,0.64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
22,86.71,164,129,58,1.87,5,3,2,0,43.61,687,136,328.21,50,18,1.25,0.79,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,train
57,66.3,169,128,57,0.63,2,1,3,0,37.39,572,58,450.34,21,39,4.08,0.76,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,train
47,98.29,199,148,64,0.76,3,1,3,0,32.63,1237,241,191.27,42,93,4.33,0.74,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
32,83.77,195,127,63,1.46,3,1,3,0,38.52,873,30,380.78,18,16,2.89,0.65,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,train
56,88.69,161,144,59,1.57,4,3,2,0,42.13,144,52,399.71,22,13,1.11,0.89,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,train
52,68.57,164,131,65,1.4,4,2,3,0,10.13,509,106,288.01,24,69,3.34,0.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,train
19,73.59,198,137,64,1.29,3,2,3,1,43.05,2079,19,419.32,45,19,3.92,0.69,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,train
47,86.42,177,165,50,2.0,4,3,2,0,17.62,2446,220,227.43,13,93,2.32,0.93,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,train
52,105.19,189,141,61,1.36,3,1,3,0,45.27,1142,185,453.97,18,62,2.8,0.75,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,train
30,62.28,164,162,70,1.02,4,2,3,1,8.34,1824,232,130.54,27,104,2.11,0.99,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,train
18,118.41,188,134,67,0.93,3,1,4,0,36.81,1852,199,246.08,10,29,3.01,0.71,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,train
53,83.18,165,137,69,1.67,5,3,2,0,8.29,1588,80,150.15,9,87,4.3,0.83,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,train
58,53.36,168,135,69,1.48,4,2,4,1,34.97,458,147,242.86,51,39,3.92,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,train
43,46.58,176,139,65,1.18,2,1,3,0,18.97,2107,152,263.2,7,91,4.4,0.79,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,train
23,87.28,187,158,67,1.57,4,3,3,0,23.22,2465,206,103.13,53,22,2.29,0.85,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,train
52,44.51,179,121,61,1.41,3,1,2,1,13.33,2098,246,403.48,39,100,3.0,0.68,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,train
48,69.81,194,127,51,0.69,3,1,4,0,19.58,2277,230,112.28,37,78,3.1,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,train
59,96.29,183,150,62,0.57,3,1,2,1,45.05,1699,51,462.62,7,44,2.64,0.82,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,train
28,108.37,183,120,68,1.33,4,2,2,1,19.66,622,79,163.74,21,104,3.31,0.66,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,train
53,72.46,163,149,72,1.27,2,1,4,0,26.43,2155,242,258.53,27,63,4.76,0.91,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,train
58,60.58,185,154,55,1.03,3,2,4,1,7.4,2220,255,372.47,52,85,2.78,0.83,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,train
18,114.74,192,128,60,1.04,3,1,3,0,9.94,2419,116,157.83,24,97,3.85,0.67,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,train
53,67.22,181,139,57,1.07,4,2,3,0,7.05,94,93,452.16,50,29,4.89,0.77,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,train
50,56.31,182,142,66,1.43,3,1,3,1,23.19,1550,268,236.44,23,98,1.82,0.78,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,train
19,48.87,193,164,58,1.42,4,2,3,0,30.03,1236,8,121.62,60,46,4.8,0.85,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,train
